Name,Ticker,"Sub-Sector","Market Cap","Domestic Institutional Holding","Mutual Fund Holding","Foreign Institutional Holding","Promoter Holding","MF Holding Change – 3M"," MF Holding Change – 6M","FII Holding Change – 3M","Promoter Holding Change – 6M ","DII Holding Change – 3M","DII Holding Change – 6M","FII Holding Change – 6M","Promoter Holding Change – 3M","Insurance Firms Holding","Retail Investor Holding"
Deep Industries Ltd,DEEPINDS,"Oil & Gas - Equipment & Services","2673.92","0","0","2.1097953124999997","63.490146875","0","0","0.28744687499999966","0","0","0","0.07536562499999944","0","0","15.865409375"
Unitech Ltd,UNITECH,"Real Estate","2668.62706794","1.0447192623854038","0.0064595012945389075","0.2970372621648842","5.131583544406998","0","0","-0.19453006013340485","0","0.05045290951947545","0.1154297592573641","-0.02924128325665115","0","0.886591588020719","39.44581210114846"
Dreamfolks Services Ltd,DREAMFOLKS,"Logistics","2668.32360455","9.30288195703263","7.9992928740197815","3.8871014608857646","66.01966977955985","0.8959845895719818","1.339716703033793","-1.4635222115557385","0","1.2720516716431014","0.0798232381179993","-1.33966767040235","0","0.7707024444954383","17.22190086989923"
Baazar Style Retail Ltd,STYLEBAAZA,"Retail - Speciality","2650.40837856","10.386940421218105","3.642398035749137","5.260411743632878","45.561364257989695",,"3.642398035749137",,"-10.219752523892474",,"-33.831942796899725","5.260411743632878",,"1.1574680222172984","14.607359497193636"
Meghmani Organics Ltd,MOL,"Commodity Chemicals","2648.1738791430002","0.22410190832788343","0","1.3917885225847642","49.32043966666102","0","-0.05721386918484079","-0.12196133231422146","0.003932143611116601","0.016515003166692882","-0.05052922504594129","0.09332156432264793","0.003932143611116601","0","33.63505706725921"
Novartis India Ltd,NOVARTIND,"Pharmaceuticals","2647.3472543400003","0.5336117744599334","0.003252223895405239","0.18681859479870172","70.67685988427186","0","0.00006885156441082058","0","0","0","0.0001498534048940403","-0.008100184048331849","0","0.5081083449837606","21.099821119585567"
SBI Gold ETF,SETFGOLD,"Gold","2644.090741",,,,,,,,,,,,,,
63 Moons Technologies Ltd,63MOONS,"IT Services & Consulting","2631.28842174","0.09446697493889616","0","4.123321016029654","45.63052425036845","0","0","-0.22704930931292377","0","-0.041023437875208596","-0.028870274245035174","-2.3748236624786943","0","0","25.3782189308658"
MSP Steel & Power Ltd,MSPL,"Iron & Steel","2621.367186372","3.1729974183672147","0","0.3255716565260823","42.34134452473308","0","0","0.16989530765538446","0.7224337402540115","0.028540663959628176","0.028540663959628176","0.3255716565260823","0.7224337402540115","0","7.33313597031771"
DEN Networks Ltd,DEN,"Cable & D2H","2621.258995172","0.1789916847093003","0.04346325150621927","0.9569318565797985","74.90404256727784","0.005860352598265499","0.015415197872185121","-0.15480932223745036","0","0.005860352598265478","0.015415197872185094","-0.019511179287363567","0","0.13536079698616066","12.809221425220278"
