Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
Mahindra Holidays and Resorts India Ltd,MHRIL,"Hotels, Resorts & Cruise Lines","8274.61873435","261.76","942.26","24.42","2738.28","9629.12",,"3013.61","0.02","2502.62","533.3699999999999","1671.2600000000002","624.33","9095.750000000004"
Protean eGov Technologies Ltd,PROTEAN,"IT Consulting & Other Services","8269.326446160001","863.9200000000001","164.73","536.42","20.79","1185.24",,"436.78999999999996","40.45","223.78000000000003","925.99","12.149999999999999","57.54","259.25"
Ethos Ltd,ETHOSLTD,"Precious Metals, Jewellery & Watches","8249.66448657","175.53999999999996","345.46","25.36","145.01999999999998","1170.64",,"864.0500000000001","0","170.76","883.97","113.07000000000001","30.81","286.67"
Ujjivan Small Finance Bank Ltd,UJJIVANSFB,"Private Banks","8239.62487518","2837.8399999999997","2536.8","9766.02",,"40440.29","31462.16","2536.8","68.34","31462.16","5613.499999999999","2170.82","1582.46","34826.79"
RattanIndia Power Ltd,RTNPOWER,"Power Generation","8237.74238924","-2877.4300000000003","461.66","0","3184.94","9565.67",,"2862.9300000000003","0","1255.8","4740.799999999999","2737.6","1305.76","4824.870000000002"
Mahindra Lifespace Developers Ltd,MAHLIFE,"Real Estate","8226.284124","767.18","193.05","827.38","877.1800000000001","4963.04",,"3884.6600000000003","35.7","2430.61","1872.99","651.2900000000001","-661.37","3090.05"
Laxmi Organic Industries Ltd,LXCHEM,"Specialty Chemicals","8194.591408889999","970.49","440.16999999999996","2.76","142.79","2827.23",,"1477.25","13.28","891.14","1798","103.63","561.57","1029.2300000000002"
TV18 Broadcast Ltd,TV18BRDCST,"TV Channels & Broadcasters","8153.49692096","1177.8500000000004","311","563.1","4385.82","13767.880000000001",,"9480.380000000001","0","7184.400000000001","6195.1","201.3800000000001","-2718.08","7572.780000000001"
Indo Count Industries Ltd,ICIL,"Textiles","8121.2182117","2032.9099999999999","235.83999999999997","0","955.94","3568.6000000000004",,"2139.7400000000002","39.61","1180.18","2089.06","167.32000000000005","145.8","1479.5400000000004"
Balu Forge Industries Ltd,BALUFORGE,"Construction & Engineering","8109.0975805","168.56","90.87","0","48.79","712.45",,"492.99","0","133.73000000000002","552.96","24.839999999999996","-17.97","159.49"
Electronics Mart India Ltd,EMIL,"Home Electronics & Appliances","8067.796790378","605.05","85.47","0","1569.8600000000001","3059.09",,"1541.6000000000001","0","781.55","1369.6599999999999","907.64","159.83","1689.4300000000003"
Sandur Manganese and Iron Ores Ltd,SANDUMA,"Mining - Manganese","8052.326243910001","1996.23","503.51","39.92","132.85","2593.0199999999995",,"1443.9699999999998","13.53","293.45","2158.27","99.69","153.11","434.74999999999955"
Ahluwalia Contracts (India) Ltd,AHLUCONT,"Construction & Engineering","8019.7506832","1535.94","780.34","0","105.03","3194.62",,"2630.61","2.68","1214.1200000000001","1599.95","57.21","257.45","1594.6699999999998"
MedPlus Health Services Ltd,MEDPLUS,"Online Services","7992.6758383","345.3799999999999","141.68","0","1009.57","3004.8",,"1567.5500000000002","0","525.94","1577.3700000000001","868.08","143.74","1427.4299999999998"
Equinox India Developments Ltd,EMBDL,"Real Estate","7956.017163744","-3996.5099999999998","140.57999999999998","145.91","306.57000000000005","5914.56",,"5505.05","0","2703.12","2765.4","267.85","-97.28","3149.1600000000008"
Ion Exchange (India) Ltd,IONEXCHANG,"Environmental Services","7955.44407175","920.3299999999999","588.4399999999999","11.7","152.41","2440.9299999999994",,"1950.6499999999996","15.45","1259.09","1019.81","120.09","129.94","1421.1199999999994"
Inox Green Energy Services Ltd,INOXGREEN,"Heavy Electrical Equipments","7946.656214903999","-358.07000000000005","15.04","0","173.8","2082.52",,"754.48","0","498.77","1349.9199999999998","5.079999999999998","-7.87","732.6000000000004"
India Shelter Finance Corporation Ltd,INDIASHLTR,"Home Financing","7902.027523075","751.9999999999998","377.7","157.8","3415.1","5794.179999999999",,"541.11","0","80.42","2298.67","3415.1","-1232.33","3495.509999999999"
EPL Ltd,EPL,"Packaging","7901.800575227","1865.8","207.3","7.6","912.3000000000001","3771.0999999999995",,"1646.4999999999998","139.6","1084.1000000000001","2090.6","526.8","586.5","1680.4999999999995"
Syrma SGS Technology Ltd,SYRMA,"Electronic Equipments","7896.3206266649995","376.25","121.03999999999999","6.4","629.89","3688.2",,"2276.2","26.52","1844.85","1677.0300000000002","111.10999999999996","-113.61","2011.1699999999996"
IFB Industries Ltd,IFBIND,"Auto Parts","7876.24616046","502","302.69","70.86","164.14","2179.79",,"1420.8300000000002","0","1248.81","717.61","86.55","350.6","1462.1799999999998"
Welspun Enterprises Ltd,WELENT,"Construction & Engineering","7857.7349036","1454.7000000000003","966.24","283.17","762.1000000000001","4928.959999999999",,"2985.3599999999997","13.64","1585.42","2490.1800000000003","563.6400000000001","-344.47","2438.7799999999984"
Moil Ltd,MOIL,"Mining - Manganese","7838.250327719999","2249.59","910.66","7.67","0","2889.3899999999994",,"1464.7199999999998","85.17","356.62","2453.08","0","253.35","436.3099999999993"
Dilip Buildcon Ltd,DBL,"Construction & Engineering","7835.660295889999","3176.01","736.48","856.74","7240.349999999999","16646.73",,"8988.67","1.46","6793.0199999999995","4374.31","5051.91","1070.41","12272.419999999998"
Arvind Fashions Ltd,ARVINDFASN,"Textiles","7815.980632175","-1200.52","167.98","0","1147.92","3606.9700000000003",,"2187.21","62.56","1719.5","1192.42","547.1","434.18","2414.55"
Tamilnad Mercantile Bank Ltd,TMB,"Private Banks","7794.05856588","6993.620000000001","3568.12","15262.6",,"61552.46000000001","49515.07","3568.12","79.18","49515.07","7921.200000000001","1301.15","-610.54","53631.26000000001"
Responsive Industries Ltd,RESPONIND,"Building Products - Granite","7759.64167312","849.7500000000001","32.230000000000004","0.08","214.67999999999998","1546.0100000000002",,"727.2300000000001","2.63","371.11","1137.0600000000002","14.669999999999982","225.08","408.95"
JK Paper Ltd,JKPAPER,"Paper Products","7726.440909839999","4398.780000000001","1043.22","188.57","2166.0699999999997","9326.24",,"3057.64","126.9","1475.9499999999998","5250.040000000001","1657.1299999999999","1375.89","4076.199999999998"
Infibeam Avenues Ltd,INFIBEAM,"IT Services & Consulting","7655.424508832","704.8800000000001","708.04","560.1","83.39","5216.07",,"2064.1400000000003","13.34","1486.4699999999998","3455.74","79.03","719.71","1760.33"
Balaji Amines Ltd,BALAMINES,"Specialty Chemicals","7599.168535","1709.68","339.79","0","19.7","2146.1499999999996",,"996.98","32.4","148.70000000000002","1893.2400000000002","10.61","224.21","252.90999999999957"
Insolation Energy Ltd,INA,"Semiconductors","7589.41008","17.819999999999997","23.38","0","67.92","159.29",,"117.44","0","70.48","52.879999999999995","32.78","-1.4","106.41"
PDS Limited,PDSL,"Textiles","7579.984394765","1111.1899999999998","697.74","443.4","1053.93","4061.8900000000003",,"2950.55","144.64","2664.2100000000005","1245.6699999999998","121.84999999999997","189.5","2816.2200000000007"
Piccadily Agro Industries Ltd,PICCADIL,"Sugar","7531.5764188","244.4","18.54","60.61","171.8","739.08",,"400.7","1.89","305.66","339.71000000000004","59.44000000000001","51.03","399.37"
Garware Hi-Tech Films Ltd,GRWRHITECH,"Commodity Chemicals","7504.179423969999","2015.6499999999999","388.16","87.33","0","2323.71",,"774.02","23.21","221.90999999999997","2044.8","0","172.11","278.9100000000002"
VST Industries Ltd,VSTIND,"FMCG - Tobacco","7435.712781","1236.97","282.18","200.11","0","1720.0999999999997",,"1188.2199999999998","230.77","446.03000000000003","1252.41","0","167.02","467.68999999999954"
Garware Technical Fibres Ltd,GARFIBRES,"Textiles","7401.65846658","1212.45","313.28","549.71","123.11","1771",,"926.53","7.13","483.09000000000003","1233.8600000000001","3.44","218.8","537.1399999999999"
Gabriel India Ltd,GABRIEL,"Auto Parts","7386.8896145","960.61","178.07999999999998","1.07","74.97","1779.48",,"1140.07","45.34","705.03","1002.15","45.22","176.59","777.3300000000002"
Suprajit Engineering Ltd,SUPRAJIT,"Auto Parts","7380.2054451","1206.86","631.2","0.07","708.0999999999999","2620.4700000000003",,"1727.21","31.07","949.9200000000001","1362.1899999999998","266.8","249.22","1258.2800000000004"
Hindustan Construction Company Ltd,HCC,"Construction & Engineering","7341.07902608","-2970.66","513.27","245.38","2222.53","9059.380000000001",,"6828.84","0","5902.22","-168.4699999999998","1768.4","90.68","9227.85"
Mishra Dhatu Nigam Ltd,MIDHANI,"Metals - Diversified","7333.4243","1131.82","16.61","21.82","432.64","2905.42",,"1767.08","57.71","775.1400000000001","1319.1599999999999","140.14","215.64","1586.2600000000002"
Technocraft Industries (India) Ltd,TIIL,"Industrial Machinery","7302.9082358","1647.46","216.98","352.72","675.17","2692.41",,"1547.43","2.5","772.8599999999999","1713.76","127.3","307.64","978.6499999999999"
Sudarshan Chemical Industries Ltd,SUDARSCHEM,"Diversified Chemicals","7287.20647125","1121.98","55.91","2.44","467.06999999999994","2345.82",,"1193.29","33.29","862.5000000000001","1149.04","215.99","193.46","1196.7800000000002"
Dodla Dairy Ltd,DODLA,"FMCG - Foods","7283.074741525","881.3600000000001","286.66999999999996","12.94","45.79","1477.69",,"708.3699999999999","0","262.13","1138.8700000000001","40.32","-0.71","338.82"
Easy Trip Planners Ltd,EASEMYTRIP,"Tour & Travel Services","7263.594493182","281.24","104.57000000000001","37","19.470000000000002","885.37",,"560.25","17.7","244.78000000000003","624.65","8.920000000000002","124.11","260.72"
Diamond Power Infrastructure Ltd,DIACABS,"Electrical Components & Equipments","7202.37696255","-1032.59","6.25","0","367.46","1406.8100000000002",,"145.47","0","43.32","-979.8899999999999","367.41999999999996","-1953.39","2386.7000000000003"
Surya Roshni Ltd,SURYAROSNI,"Iron & Steel","7201.579707","1976.96","45.57","0","16.009999999999998","2921.73",,"1995.7400000000002","48.97","652.0100000000001","2166.39","6.459999999999999","539.67","755.3400000000001"
Hindustan Foods Ltd,HNDFDS,"FMCG - Foods","7182.603499569999","314.28000000000003","49.29","0","728.98","1924.47",,"867.52","0","689.04","646.97","534.95","86.71","1277.5"
eMudhra Ltd,EMUDHRA,"IT Services & Consulting","7160.314245755","237.17000000000002","249.46","0","7.64","750.01",,"439.51","9.41","75.72","662.0699999999999","0.02999999999999936","72.52","87.9400000000001"
Magellanic Cloud Ltd,MCLOUD,"IT Services & Consulting","7150.0742932","248.22","16.68","0","278.84999999999997","799.48",,"330.44","1.75","181.33","406.93","200.1","31.96","392.54999999999995"
Sun Pharma Advanced Research Co Ltd,SPARC,"Pharmaceuticals","7131.037374711999","-1944.8600000000001","157.13000000000002","0","61.15","515.05",,"269.38","0","265.06","125.75","10.66","-429.19","389.29999999999995"
KRBL Ltd,KRBL,"Packaged Foods & Meats","7117.33119174","4835.02","145.21","0","544.5699999999999","5927.03",,"4961.47","23.58","919.48","4858.800000000001","24.199999999999996","226.47","1068.229999999999"
Orchid Pharma Ltd,ORCHPHARMA,"Pharmaceuticals","7116.39762255","203.67000000000007","266.57","45.82","135.18","1553.87",,"790.76","0","259.96999999999997","1169.47","120.8","125.99","384.4"
V-mart Retail Ltd,VMART,"Retail - Department Stores","7072.31407253","239.33000000000004","31.93","0","1391.25","2845.33",,"1034.78","0","892.2","746.99","1193.54","385.89","2098.34"
V I P Industries Ltd,VIPIND,"Apparel & Accessories","7053.750202925","600.62","47.400000000000006","1.84","871.1500000000001","2066.5299999999997",,"1432.28","28.81","1089.54","677.91","281.29","-131.7","1388.62"
Niit Learning Systems Ltd,NIITMTS,"Education Services","7048.5383891","940.13","631.81","30.28","132.13","2028.7899999999997",,"1322.3899999999999","33.57","798.86","977.45","100.34","278.68","1051.3399999999997"
Sharda Motor Industries Ltd,SHARDAMOTR,"Auto Parts","7046.078315175","999.94","598.78","333.76","23.67","1627.84",,"1041.77","51.35","588.0100000000001","1005.8900000000001","22.48","369.56","621.9499999999997"
Paradeep Phosphates Ltd,PARADEEP,"Fertilizers & Agro Chemicals","7045.390951961999","2014.2199999999998","118.02","3.25","4013.7100000000005","9661.13",,"5756.9","40.74","5225.93","3564.3999999999996","693.7300000000002","1436.76","6096.7300000000005"
Man Infraconstruction Ltd,MANINFRA,"Construction & Engineering","7043.661022625","1060.16","662.43","163.48","130.85","2154.13",,"1886.23","83.99","551.4300000000001","1516.68","63.43","572.59","637.4500000000003"
Kennametal India Ltd,KENNAMET,"Industrial Machinery","7039.3005984","666.1999999999999","89.5","0","2.7","851",,"484.7","44","153.10000000000002","688.3","1.8000000000000003","115.8","162.70000000000002"
Go Fashion (India) Ltd,GOCOLORS,"Apparel & Accessories","7033.3199414","319.25","198.13","0","469.1","1144.98",,"547.98","0","142.56","603.9","393.38","218.69","541.0800000000002"
Indigo Paints Ltd,INDIGOPNTS,"Paints","7019.688597055","454.88","199.64000000000001","0","21.03","1270.4299999999998",,"624.62","16.66","286.15000000000003","902.14","12.48","151.01","368.2899999999998"
Jindal Worldwide Ltd,JINDWORLD,"Textiles","7018.214","696.73","304.88","21.32","883.08","1740.39",,"1336.18","4.01","804.25","719.07","207.25000000000006","4.85","1021.32"
Dhanuka Agritech Ltd,DHANUKA,"Fertilizers & Agro Chemicals","7003.14302502","1246.75","73.15","167.8","26.98","1579.13",,"1025.8","45.58","278.14000000000004","1255.87","22.46","134.46","323.2600000000003"
PTC India Ltd,PTC,"Power Trading & Consultancy","6997.636708439999","3196.4399999999996","2243.3199999999997","233.89","4327.1","15122.949999999999",,"10900.869999999999","253.37","6247.82","6030.3","2821.38","2450.54","9092.649999999998"
Gulf Oil Lubricants India Ltd,GULFOILLUB,"Commodity Chemicals","6977.175297694999","1201.06","757.29","90.72","365.25","2408.45",,"1908.77","201.4","982.26","1366.5","15.590000000000003","341.42","1041.95"
Tarc Ltd,TARC,"Real Estate","6974.8969740600005","1215.55","67.42","67.86","1392.5400000000002","3463.1500000000005",,"1642.5500000000002","0","1253.1599999999999","1274.9299999999998","929.1600000000001","158.22","2188.2200000000007"
ICRA Ltd,ICRA,"Stock Exchanges & Ratings","6906.788047214999","966.84","578.78","390.2","12.680000000000001","1185.1999999999998",,"657.63","126.35","152.06000000000003","980.98","8.57","107.01","204.2199999999998"
Greenlam Industries Ltd,GREENLAM,"Building Products - Laminates","6880.695653685","869.4200000000001","180.33999999999997","0.01","1109.2999999999997","2725.91",,"1083.47","19.05","895.72","1076.8600000000001","733.56","193.64","1649.0499999999997"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches","6818.1670764","1396.9999999999998","7.41","0.01","4150.41","7269.430000000001",,"5878.670000000001","0","4291.54","2931.3499999999995","43.64999999999999","63.86","4338.080000000002"
Ceigall India Ltd,CEIGALL,"Construction & Engineering","6809.66801649","809.16","368.06","2.22","1066.2399999999998","2592.2000000000003",,"1570.1200000000001","11.79","1030.3799999999999","906.41","651.6299999999999","-210.83","1685.7900000000004"
Rolex Rings Ltd,ROLEXRINGS,"Industrial Machinery","6794.0305112","654.24","136.25","0","18.060000000000002","1120.9099999999999",,"624.98","0","161.3","898.1800000000001","0.010000000000000002","221.44","222.72999999999976"
Ashoka Buildcon Ltd,ASHOKA,"Construction & Engineering","6792.940404966001","1330.8899999999999","917.05","11.52","5387.760000000001","19005.17",,"5697.35","0","6226.099999999999","2486.97","3731.090000000001","748.84","16518.199999999997"
Kesoram Industries Ltd,KESORAMIND,"Tires & Rubber","6764.390598162","-1533.41","184","80.35","2229.5","3376.12",,"1143.58","0","1057.98","135.57000000000005","2070.52","205.61","3240.5499999999997"
Ganesh Housing Corp Ltd,GANESHHOUC,"Real Estate","6752.26961275","830.0999999999999","230.64","0","8.06","1769.1100000000001",,"1174.1000000000001","20.01","193.22","1568.24","4.5600000000000005","637.81","200.87000000000023"
National Highways Infra Trust,NHIT,"Roads","6746.8437324","-275.41","469.14","0","11734.49","27410.35",,"496.0799999999999","544.91","1020.8299999999997","14395.52","11633.949999999999","804.61","13014.829999999998"
Nesco Ltd,NESCO,"Real Estate","6732.0968782","2282.41","358.12","1164.06","0.26","2650.2999999999997",,"469","31.71","150.24999999999997","2296.5","0.1","375.52","353.7999999999997"
Gokaldas Exports Ltd,GOKEX,"Apparel & Accessories","6714.1492352","502.7800000000001","283.27","3.15","804.85","2741.12",,"1386.6","6.06","1013.3","1291.3400000000001","421.46000000000004","-177.06","1449.7799999999997"
Bansal Wire Industries Ltd,BANSALWIRE,"Iron & Steel","6655.976299280001","358.64","4.43","1.08","681.15","1264.01",,"772.1600000000001","0","481.46000000000004","461.14","304.13","-536.94","802.8699999999999"
Bondada Engineering Ltd,BONDADA,"Construction & Engineering","6646.413502825","103.67","50.6","1.5","62.5","504.78",,"448.66999999999996","0.19","315.5","167.91","15.000000000000004","54.03","336.87"
