Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
Jupiter Infomedia Ltd,JUPITERIN,"Publishing","42.52488","12.479999999999999","7.59","19.43","0.03","34.3",,"8.72","0","1.0399999999999998","32.519999999999996","0.019999999999999997","6.34","1.7799999999999998"
SBEC Systems (India) Ltd,SBECSYS,"IT Services & Consulting","42.5","-27.91","0.14","0","17.01","1.35",,"1.09","0","9.03","-15.98","8.270000000000001","2.07","17.330000000000005"
Incap Ltd,INCAP,"Electronic Components","42.4823632","10.719999999999999","8.13","2.21","2.75","27.430000000000003",,"21.660000000000004","0.51","10.72","16.07","0.3600000000000001","-6.06","11.360000000000005"
Paos Industries Ltd,PAOS,"Packaged Foods & Meats","42.26743","-25.45","0.02","0","14.39","0.1",,"0.02","0","0.02","-14.309999999999999","14.39","-0.14","14.409999999999998"
Shiva Global Agro Industries Ltd,SHIVAAGRO,"Fertilizers & Agro Chemicals","42.260397","64.78","3.27","1.52","109.39","243.98",,"190.51","0","105.62","125.41","12.330000000000005","33.41","118.56999999999998"
Phaarmasia Ltd,PHRMASI,"Pharmaceuticals","42.2247476","3.47","0.63","0","0.14","31.439999999999998",,"17.97","0","20.909999999999997","10.3","0.010000000000000009","0.11","21.139999999999997"
Varyaa Creations Ltd,VARYAA,"Apparel, Accessories & Luxury Goods","42.22385","0.16","0.06","0","0","8.51",,"8.49","0","4.89","3.6100000000000003","0","-3.72","4.8999999999999995"
Nivaka Fashions Ltd,NIVAKA,,"42.20559","0.08","0.17","2.69","2.26","15.16",,"5.78","0","2.55","10.35","2.26","1.21","4.81"
Gautam Gems Ltd,GGL,"Precious Metals, Jewellery & Watches","42.1426206","2.0500000000000003","0.15","0","6.22","49.059999999999995",,"47.019999999999996","0","24.429999999999996","24.529999999999998","0","-9.09","24.529999999999998"
Poojawestern Metaliks Ltd,POOJA,"Metals - Diversified","42.109584","2.88","0.29","0.11","19.25","35.06999999999999",,"25.82","1.01","19.950000000000003","13.02","2.1099999999999985","-2.24","22.049999999999997"
APT Packaging Ltd,APTPACK,"Plastic Products","41.660341305","-13.3","0.16","0.13","20.7","21.29",,"6.27","0","12.61","-2.6900000000000013","10.959999999999999","0.29","23.98"
Nippon India ETF Nifty 50 Value 20,NV20BEES,"Equity","41.63824782",,,,,,,,,,,,,
J A Finance Ltd,JAFINANCE,"Specialized Finance","41.5300587","9.25","2.05","3.17","7.09","27.189999999999998",,"2.6399999999999997","0","0.07","19.9","7.09","3.77","7.29"
KMS Medisurgi Ltd,KMSMEDI,"Health Care Supplies","41.25","2.0500000000000003","0.19","0","0.99","9.72",,"7.73","0.02","1.51","7.23","0.99","0.46","2.49"
